transaction_id,transaction_date,revenue_amount,transaction_type,quantity,gross_amount,source_system
TX0000052,2024-08-09,5029.69,TRAIL,54.7,93378.87,IPERFORM
TX0000053,2024-08-13,6388.08,INTEREST,15.29,143970.07,IPERFORM
TX0000054,2024-08-17,4415.01,FEE,35.33,59498.88,IPERFORM
TX0000055,2024-08-21,5807.02,COMMISSION,15.28,116988.74,IPERFORM
TX0000056,2024-08-25,4944.66,TRAIL,86.28,63302.69,IPERFORM
TX0000057,2024-08-02,6476.04,FEE,58.83,127997.36,IPERFORM
TX0000058,2024-08-06,4252.12,COMMISSION,88.36,56829.6,IPERFORM
TX0000059,2024-08-10,5920.77,TRAIL,63.41,113508.92,IPERFORM
TX0000060,2024-08-14,5331.45,INTEREST,22.34,114546.78,IPERFORM
TX0000061,2024-08-18,4149.36,FEE,70.48,52767.61,IPERFORM
TX0000062,2024-08-22,4531.95,COMMISSION,4.46,68903.83,IPERFORM
TX0000063,2024-08-26,4304.17,TRAIL,38.16,72686.13,IPERFORM
TX0000064,2024-08-03,5107.25,FEE,30.3,127529.53,IPERFORM
TX0000065,2024-08-07,5447.2,COMMISSION,5.24,129240.97,IPERFORM
TX0000066,2024-08-11,6897.96,TRAIL,55.77,77090.31,IPERFORM
TX0000067,2024-08-15,6484.63,INTEREST,7.16,79408.65,IPERFORM
TX0000068,2024-08-19,5516.21,FEE,71.72,126689.02,IPERFORM
TX0000069,2024-08-23,4112.62,COMMISSION,84.59,88831.98,IPERFORM
TX0000070,2024-08-27,5499.0,TRAIL,24.64,77285.23,IPERFORM
TX0000071,2024-08-04,6176.08,FEE,11.13,63901.51,IPERFORM
TX0000072,2024-08-08,5947.85,COMMISSION,9.54,88144.97,IPERFORM
TX0000073,2024-08-12,3774.58,TRAIL,28.62,34501.62,IPERFORM
TX0000074,2024-08-16,3966.86,INTEREST,26.83,38304.42,IPERFORM
TX0000075,2024-08-20,4124.97,FEE,74.08,78734.23,IPERFORM
TX0000076,2024-08-24,4806.62,COMMISSION,54.06,48107.29,IPERFORM
TX0000077,2024-08-28,6309.05,TRAIL,53.84,109585.3,IPERFORM
TX0000078,2024-08-01,4804.93,FEE,24.18,41684.93,IPERFORM
TX0000079,2024-08-05,6411.07,COMMISSION,84.84,155140.86,IPERFORM
TX0000080,2024-08-09,3620.83,TRAIL,2.61,66673.75,IPERFORM
TX0000081,2024-08-13,6607.0,INTEREST,37.52,116655.84,IPERFORM
TX0000082,2024-08-17,5990.07,FEE,46.42,88769.99,IPERFORM
TX0000083,2024-08-21,4331.19,COMMISSION,14.04,63910.07,IPERFORM
TX0000084,2024-08-25,5797.71,TRAIL,41.19,101406.17,IPERFORM
TX0000085,2024-08-02,6703.83,FEE,7.71,78951.69,IPERFORM
TX0000086,2024-08-06,5435.61,COMMISSION,25.78,131339.2,IPERFORM
TX0000087,2024-08-10,4908.17,TRAIL,32.86,83778.03,IPERFORM
TX0000088,2024-08-14,6533.59,INTEREST,48.13,154077.44,IPERFORM
TX0000089,2024-08-18,5414.31,FEE,86.46,55103.8,IPERFORM
TX0000090,2024-08-22,5679.81,COMMISSION,35.83,69829.59,IPERFORM
TX0000091,2024-08-26,5646.77,TRAIL,30.21,126881.69,IPERFORM
TX0000092,2024-08-03,6071.38,FEE,18.71,68904.71,IPERFORM
TX0000093,2024-08-07,4598.22,COMMISSION,80.21,84502.83,IPERFORM
TX0000094,2024-08-11,4605.67,TRAIL,93.9,66105.86,IPERFORM
TX0000095,2024-08-15,6158.85,INTEREST,73.98,72931.49,IPERFORM
TX0000096,2024-08-19,4095.19,FEE,43.6,74399.69,IPERFORM
TX0000097,2024-08-23,4618.52,COMMISSION,75.23,98733.68,IPERFORM
TX0000098,2024-08-27,6700.63,TRAIL,15.59,77502.43,IPERFORM
TX0000099,2024-08-04,4092.15,FEE,89.47,41619.8,IPERFORM
TX0000100,2024-08-08,5470.67,COMMISSION,36.62,90005.15,IPERFORM
TX0000101,2024-08-12,5825.45,TRAIL,31.54,95508.23,IPERFORM
TX0000102,2024-08-16,4731.4,INTEREST,57.7,99279.53,IPERFORM
TX0000103,2024-08-20,3910.25,FEE,13.41,35655.72,IPERFORM
TX0000104,2024-08-24,6229.73,COMMISSION,73.16,96387.5,IPERFORM
TX0000105,2024-08-28,6073.26,TRAIL,62.13,84169.75,IPERFORM
TX0000106,2024-08-01,5358.15,FEE,47.73,79878.13,IPERFORM
TX0000107,2024-08-05,4280.19,COMMISSION,10.78,64319.84,IPERFORM
TX0000108,2024-08-09,4317.52,TRAIL,5.87,38007.5,IPERFORM
TX0000109,2024-08-13,5940.71,INTEREST,1.54,59795.06,IPERFORM
TX0000110,2024-08-17,6080.94,FEE,5.13,49048.05,IPERFORM
TX0000111,2024-08-21,6944.46,COMMISSION,28.64,90596.13,IPERFORM
TX0000112,2024-08-25,5068.93,TRAIL,1.42,75508.97,IPERFORM
TX0000113,2024-08-02,5915.64,FEE,88.93,93993.62,IPERFORM
TX0000114,2024-08-06,6391.64,COMMISSION,99.75,135351.78,IPERFORM
TX0000115,2024-08-10,6054.51,TRAIL,42.81,84943.93,IPERFORM
TX0000116,2024-08-14,7363.99,INTEREST,37.7,97870.4,IPERFORM
TX0000117,2024-08-18,5259.1,FEE,47.76,91683.81,IPERFORM
TX0000118,2024-08-22,5800.24,COMMISSION,34.69,50732.56,IPERFORM
TX0000119,2024-08-26,7056.58,TRAIL,34.11,66144.21,IPERFORM
TX0000120,2024-08-03,5486.37,FEE,35.77,91222.94,IPERFORM
TX0000121,2024-08-07,5622.48,COMMISSION,15.1,112955.5,IPERFORM
TX0000122,2024-08-11,4942.52,TRAIL,69.76,98429.35,IPERFORM
TX0000123,2024-08-15,4973.26,INTEREST,54.61,121261.51,IPERFORM
TX0000124,2024-08-19,6050.53,FEE,57.34,56213.0,IPERFORM
TX0000125,2024-08-23,6629.93,COMMISSION,7.77,100079.45,IPERFORM
TX0000126,2024-08-27,7427.25,TRAIL,93.16,78553.21,IPERFORM
TX0000127,2024-08-04,7383.78,FEE,16.13,180493.69,IPERFORM
TX0000128,2024-08-08,7466.15,COMMISSION,20.68,137305.54,IPERFORM
TX0000129,2024-08-12,6714.02,TRAIL,87.97,125848.63,IPERFORM
TX0000130,2024-08-16,6951.69,INTEREST,77.72,84746.25,IPERFORM
TX0000131,2024-08-20,7350.53,FEE,14.53,155689.78,IPERFORM
TX0000132,2024-08-24,4389.84,COMMISSION,48.15,88522.08,IPERFORM
TX0000133,2024-08-28,6339.05,TRAIL,23.66,93821.59,IPERFORM
TX0000134,2024-08-01,6511.75,FEE,36.43,83012.71,IPERFORM
TX0000135,2024-08-05,6861.96,COMMISSION,84.23,93424.41,IPERFORM
TX0000136,2024-08-09,7556.97,TRAIL,18.19,81821.44,IPERFORM
TX0000137,2024-08-13,5340.19,INTEREST,81.83,86359.38,IPERFORM
TX0000138,2024-08-17,7352.22,FEE,92.18,179186.65,IPERFORM
TX0000139,2024-08-21,6179.72,COMMISSION,96.46,145444.12,IPERFORM
TX0000140,2024-08-25,7275.35,TRAIL,32.86,158260.66,IPERFORM
TX0000141,2024-08-02,4432.94,FEE,70.78,89236.61,IPERFORM
TX0000142,2024-08-06,6453.62,COMMISSION,15.34,141812.7,IPERFORM
TX0000143,2024-08-10,7677.0,TRAIL,24.77,167296.36,IPERFORM
TX0000144,2024-08-14,6513.71,INTEREST,20.13,113520.76,IPERFORM
TX0000145,2024-08-18,6211.66,FEE,79.89,134408.05,IPERFORM
TX0000146,2024-08-22,6758.01,COMMISSION,80.76,113635.77,IPERFORM
TX0000147,2024-08-26,8007.18,TRAIL,62.75,78794.69,IPERFORM
TX0000148,2024-08-03,7067.48,FEE,61.3,176245.93,IPERFORM
TX0000149,2024-08-07,6473.07,COMMISSION,38.93,103279.1,IPERFORM
TX0000150,2024-08-11,5496.07,TRAIL,71.99,60170.68,IPERFORM
TX0000151,2024-08-15,8209.34,INTEREST,73.85,114405.01,IPERFORM
TX0000152,2024-08-19,6893.72,FEE,52.47,160347.63,IPERFORM
TX0000153,2024-08-23,5564.53,COMMISSION,37.68,58803.4,IPERFORM
TX0000154,2024-08-27,7544.17,TRAIL,13.02,125116.24,IPERFORM
TX0000155,2024-08-04,8207.28,FEE,98.17,181648.13,IPERFORM
TX0000156,2024-08-08,4875.43,COMMISSION,92.37,44899.48,IPERFORM
TX0000157,2024-08-12,8004.15,TRAIL,85.43,199612.4,IPERFORM
TX0000158,2024-08-16,7113.94,INTEREST,66.37,58745.7,IPERFORM
TX0000159,2024-08-20,5734.12,FEE,60.23,128220.32,IPERFORM
TX0000160,2024-08-24,7735.56,COMMISSION,59.4,190058.0,IPERFORM
TX0000161,2024-08-28,6008.42,TRAIL,22.44,119319.13,IPERFORM
TX0000162,2024-08-01,5202.9,FEE,8.34,76906.62,IPERFORM
TX0000163,2024-08-05,6524.83,COMMISSION,31.09,89423.94,IPERFORM
TX0000164,2024-08-09,7636.07,TRAIL,3.07,63193.13,IPERFORM
TX0000165,2024-08-13,6774.12,INTEREST,23.82,131964.77,IPERFORM
TX0000166,2024-08-17,7841.54,FEE,87.76,99294.6,IPERFORM
TX0000167,2024-08-21,4882.08,COMMISSION,99.02,119712.46,IPERFORM
TX0000168,2024-08-25,6416.04,TRAIL,49.62,134274.26,IPERFORM
TX0000169,2024-08-02,8684.73,FEE,64.82,145233.97,IPERFORM
TX0000170,2024-08-06,5589.77,COMMISSION,62.5,62156.3,IPERFORM
TX0000171,2024-08-10,5168.75,TRAIL,80.88,88355.01,IPERFORM
TX0000172,2024-08-14,6558.48,INTEREST,18.69,149116.09,IPERFORM
TX0000173,2024-08-18,8540.15,FEE,8.52,72823.04,IPERFORM
TX0000174,2024-08-22,7144.9,COMMISSION,15.42,140659.84,IPERFORM
TX0000175,2024-08-26,6859.09,TRAIL,38.25,56117.65,IPERFORM
TX0000176,2024-08-03,7736.59,FEE,51.52,85189.52,IPERFORM
TX0000177,2024-08-07,8624.59,COMMISSION,93.83,160370.76,IPERFORM
TX0000178,2024-08-11,7456.65,TRAIL,87.56,60067.81,IPERFORM
TX0000179,2024-08-15,6552.91,INTEREST,48.25,97864.07,IPERFORM
TX0000180,2024-08-19,6632.14,FEE,55.68,149144.36,IPERFORM
TX0000181,2024-08-23,5678.41,COMMISSION,7.66,114957.33,IPERFORM
TX0000182,2024-08-27,5186.83,TRAIL,22.66,56375.91,IPERFORM
TX0000183,2024-08-04,8472.45,FEE,41.98,83229.57,IPERFORM
TX0000184,2024-08-08,8309.27,COMMISSION,11.05,164184.93,IPERFORM
TX0000185,2024-08-12,6891.32,TRAIL,6.27,118696.25,IPERFORM
TX0000186,2024-08-16,7898.4,INTEREST,40.6,84940.02,IPERFORM
TX0000187,2024-08-20,5133.39,FEE,45.26,52911.42,IPERFORM
TX0000188,2024-08-24,5211.57,COMMISSION,38.72,69123.58,IPERFORM
TX0000189,2024-08-28,7678.63,TRAIL,54.98,85221.71,IPERFORM
TX0000190,2024-08-01,7043.51,FEE,80.61,109614.98,IPERFORM
TX0000191,2024-08-05,6292.19,COMMISSION,94.46,139072.8,IPERFORM
TX0000192,2024-08-09,8804.49,TRAIL,86.53,192153.06,IPERFORM
TX0000193,2024-08-13,5653.47,INTEREST,52.24,138696.65,IPERFORM
TX0000194,2024-08-17,6116.51,FEE,81.22,77634.42,IPERFORM
TX0000195,2024-08-21,6672.52,COMMISSION,95.83,140595.23,IPERFORM
TX0000196,2024-08-25,8748.11,TRAIL,92.66,127483.66,IPERFORM
TX0000197,2024-08-02,8742.31,FEE,60.91,193184.98,IPERFORM
TX0000198,2024-08-06,8667.44,COMMISSION,63.1,176365.26,IPERFORM
TX0000199,2024-08-10,7052.34,TRAIL,96.81,157249.19,IPERFORM
TX0000200,2024-08-14,7230.01,INTEREST,5.09,161687.04,IPERFORM
TX0000201,2024-08-18,8848.74,FEE,55.51,117227.06,IPERFORM
TX0000202,2024-08-22,5630.95,COMMISSION,5.41,81227.87,IPERFORM
TX0000203,2024-08-26,8790.2,TRAIL,31.17,199252.86,IPERFORM
TX0000204,2024-08-03,9401.5,FEE,49.89,137241.49,IPERFORM
TX0000205,2024-08-07,8497.62,COMMISSION,86.69,197186.32,IPERFORM
TX0000206,2024-08-11,6538.0,TRAIL,31.06,58842.64,IPERFORM
TX0000207,2024-08-15,5574.47,INTEREST,83.43,85858.23,IPERFORM
TX0000208,2024-08-19,5600.43,FEE,84.93,48327.26,IPERFORM
TX0000209,2024-08-23,5256.66,COMMISSION,24.42,73456.45,IPERFORM
TX0000210,2024-08-27,8746.84,TRAIL,4.83,183797.48,IPERFORM
TX0000211,2024-08-04,9206.99,FEE,97.31,151358.84,IPERFORM
TX0000212,2024-08-08,9206.43,COMMISSION,57.86,213151.75,IPERFORM
TX0000213,2024-08-12,8004.93,TRAIL,32.45,113914.01,IPERFORM
TX0000214,2024-08-16,6948.88,INTEREST,16.95,169426.44,IPERFORM
TX0000215,2024-08-20,7193.33,FEE,29.96,174381.77,IPERFORM
TX0000216,2024-08-24,5662.6,COMMISSION,83.38,84866.76,IPERFORM
TX0000217,2024-08-28,7510.52,TRAIL,96.35,123503.41,IPERFORM
TX0000218,2024-08-01,7405.92,FEE,10.82,104609.12,IPERFORM
TX0000219,2024-08-05,9683.64,COMMISSION,45.1,87867.53,IPERFORM
TX0000220,2024-08-09,7661.89,TRAIL,53.96,102588.48,IPERFORM
TX0000221,2024-08-13,5829.36,INTEREST,6.31,63035.82,IPERFORM
TX0000222,2024-08-17,7879.06,FEE,73.86,134819.49,IPERFORM
TX0000223,2024-08-21,7121.08,COMMISSION,83.89,115950.62,IPERFORM
TX0000224,2024-08-25,9102.94,TRAIL,92.08,198168.22,IPERFORM
TX0000225,2024-08-02,7767.83,FEE,63.36,68582.63,IPERFORM
TX0000226,2024-08-06,8071.3,COMMISSION,68.24,110747.58,IPERFORM
TX0000227,2024-08-10,9453.33,TRAIL,64.58,143524.56,IPERFORM
TX0000228,2024-08-14,6371.28,INTEREST,30.46,149667.09,IPERFORM
TX0000229,2024-08-18,6677.36,FEE,40.25,162644.03,IPERFORM
TX0000230,2024-08-22,6162.02,COMMISSION,61.07,57792.62,IPERFORM
TX0000231,2024-08-26,9751.22,TRAIL,33.48,125908.56,IPERFORM
TX0000232,2024-08-03,9007.68,FEE,17.38,158810.53,IPERFORM
TX0000233,2024-08-07,8816.12,COMMISSION,48.6,185963.6,IPERFORM
TX0000234,2024-08-11,8553.8,TRAIL,35.66,154968.14,IPERFORM
TX0000235,2024-08-15,6238.47,INTEREST,19.44,55820.88,IPERFORM
TX0000236,2024-08-19,8313.68,FEE,30.8,77524.22,IPERFORM
TX0000237,2024-08-23,8104.6,COMMISSION,66.02,189260.56,IPERFORM
TX0000238,2024-08-27,7133.96,TRAIL,79.52,151270.83,IPERFORM
TX0000239,2024-08-04,6977.11,FEE,47.58,149902.74,IPERFORM
TX0000240,2024-08-08,7460.55,COMMISSION,17.49,177815.59,IPERFORM
TX0000241,2024-08-12,9892.55,TRAIL,5.21,201814.95,IPERFORM
TX0000242,2024-08-16,5851.02,INTEREST,41.3,70474.33,IPERFORM
TX0000243,2024-08-20,7003.85,FEE,43.92,110545.18,IPERFORM
TX0000244,2024-08-24,10375.22,COMMISSION,93.7,109176.83,IPERFORM
TX0000245,2024-08-28,6637.78,TRAIL,84.1,137614.23,IPERFORM
TX0000246,2024-08-01,5814.05,FEE,69.98,132759.82,IPERFORM
TX0000247,2024-08-05,7274.99,COMMISSION,76.47,166865.72,IPERFORM
TX0000248,2024-08-09,9201.63,TRAIL,15.5,163100.2,IPERFORM
TX0000249,2024-08-13,9099.94,INTEREST,78.17,126087.51,IPERFORM
TX0000250,2024-08-17,10030.2,FEE,80.61,243167.37,IPERFORM
TX0000251,2024-08-21,8648.62,COMMISSION,88.81,72562.95,IPERFORM
TX0000252,2024-08-25,10019.51,TRAIL,67.47,207449.81,IPERFORM
TX0000253,2024-08-02,7349.39,FEE,38.67,81044.36,IPERFORM
TX0000254,2024-08-06,9306.17,COMMISSION,52.36,200789.15,IPERFORM
TX0000255,2024-08-10,9192.84,TRAIL,43.21,104033.92,IPERFORM
TX0000256,2024-08-14,10354.44,INTEREST,27.79,141780.97,IPERFORM
TX0000257,2024-08-18,8279.92,FEE,57.7,115363.47,IPERFORM
TX0000258,2024-08-22,10404.25,COMMISSION,9.11,105222.15,IPERFORM
TX0000259,2024-08-26,10455.5,TRAIL,23.73,116572.55,IPERFORM
TX0000260,2024-08-03,7719.04,FEE,12.04,98036.49,IPERFORM
TX0000261,2024-08-07,7584.89,COMMISSION,57.71,174765.6,IPERFORM
TX0000262,2024-08-11,8495.28,TRAIL,10.72,160353.13,IPERFORM
TX0000263,2024-08-15,6853.38,INTEREST,15.77,132986.88,IPERFORM
TX0000264,2024-08-19,7114.53,FEE,48.8,117307.11,IPERFORM
TX0000265,2024-08-23,10007.05,COMMISSION,40.01,81506.85,IPERFORM
TX0000266,2024-08-27,9459.09,TRAIL,92.31,141326.3,IPERFORM
TX0000267,2024-08-04,8509.88,FEE,64.8,177921.45,IPERFORM
TX0000268,2024-08-08,10111.79,COMMISSION,33.9,135895.19,IPERFORM
TX0000269,2024-08-12,8911.03,TRAIL,92.2,212547.09,IPERFORM
TX0000270,2024-08-16,6558.87,INTEREST,38.6,126645.79,IPERFORM
TX0000271,2024-08-20,7332.78,FEE,39.23,164664.93,IPERFORM
TX0000272,2024-08-24,6215.94,COMMISSION,92.14,55365.46,IPERFORM
TX0000273,2024-08-28,7737.5,TRAIL,69.11,71271.51,IPERFORM
TX0000274,2024-08-01,8365.33,FEE,10.44,87930.06,IPERFORM
TX0000275,2024-08-05,6254.73,COMMISSION,74.85,120470.01,IPERFORM
TX0000276,2024-08-09,11000.86,TRAIL,10.55,141831.28,IPERFORM
TX0000277,2024-08-13,9037.22,INTEREST,10.88,92500.38,IPERFORM
TX0000278,2024-08-17,8606.55,FEE,24.96,132647.14,IPERFORM
TX0000279,2024-08-21,6470.9,COMMISSION,82.26,137414.08,IPERFORM
TX0000280,2024-08-25,6722.02,TRAIL,49.79,130116.7,IPERFORM
TX0000281,2024-08-02,11237.97,FEE,58.95,263189.74,IPERFORM
TX0000282,2024-08-06,9946.47,COMMISSION,84.51,209387.9,IPERFORM
TX0000283,2024-08-10,10614.34,TRAIL,92.74,200390.71,IPERFORM
TX0000284,2024-08-14,6500.43,INTEREST,31.62,123924.3,IPERFORM
TX0000285,2024-08-18,11373.93,FEE,18.76,191319.68,IPERFORM
TX0000286,2024-08-22,9079.53,COMMISSION,31.29,157544.47,IPERFORM
TX0000287,2024-08-26,9814.82,TRAIL,24.86,112206.9,IPERFORM
TX0000288,2024-08-03,10715.15,FEE,8.07,246813.53,IPERFORM
TX0000289,2024-08-07,9752.61,COMMISSION,9.65,199976.94,IPERFORM
TX0000290,2024-08-11,10440.76,TRAIL,51.06,198179.32,IPERFORM
TX0000291,2024-08-15,7490.72,INTEREST,98.37,153115.26,IPERFORM
TX0000292,2024-08-19,7288.05,FEE,15.0,155163.38,IPERFORM
TX0000293,2024-08-23,6630.24,COMMISSION,88.34,90591.83,IPERFORM
TX0000294,2024-08-27,10063.66,TRAIL,80.7,105046.4,IPERFORM
TX0000295,2024-08-04,10876.05,FEE,50.43,169716.68,IPERFORM
TX0000296,2024-08-08,7160.73,COMMISSION,53.77,107337.68,IPERFORM
TX0000297,2024-08-12,10219.05,TRAIL,14.22,173058.42,IPERFORM
TX0000298,2024-08-16,9173.05,INTEREST,65.29,171067.49,IPERFORM
TX0000299,2024-08-20,8350.75,FEE,26.98,74740.73,IPERFORM
TX0000300,2024-08-24,7344.26,COMMISSION,25.4,132475.36,IPERFORM
TX0000301,2024-08-28,11669.68,TRAIL,67.91,141230.06,IPERFORM
TX0000302,2024-08-01,9771.39,FEE,99.1,127511.1,IPERFORM
TX0000303,2024-08-05,8825.71,COMMISSION,28.6,196887.15,IPERFORM
TX0000304,2024-08-09,6734.34,TRAIL,60.02,119857.32,IPERFORM
TX0000305,2024-08-13,7742.38,INTEREST,24.17,190323.19,IPERFORM
TX0000306,2024-08-17,7453.07,FEE,15.54,101108.78,IPERFORM
TX0000307,2024-08-21,11099.48,COMMISSION,75.43,236385.77,IPERFORM
TX0000308,2024-08-25,10227.13,TRAIL,42.14,157980.53,IPERFORM
TX0000309,2024-08-02,11038.71,FEE,2.14,99931.85,IPERFORM
TX0000310,2024-08-06,10424.59,COMMISSION,45.55,240181.57,IPERFORM
TX0000311,2024-08-10,9532.04,TRAIL,26.7,82140.3,IPERFORM
TX0000312,2024-08-14,7666.39,INTEREST,54.05,121171.74,IPERFORM
TX0000313,2024-08-18,9177.09,FEE,45.9,186002.96,IPERFORM
TX0000314,2024-08-22,9415.68,COMMISSION,33.7,207372.17,IPERFORM
TX0000315,2024-08-26,8252.57,TRAIL,3.77,157285.19,IPERFORM
TX0000316,2024-08-03,8689.71,FEE,36.0,170502.92,IPERFORM
TX0000317,2024-08-07,10021.89,COMMISSION,7.34,95564.52,IPERFORM
TX0000318,2024-08-11,12231.95,TRAIL,10.37,215059.98,IPERFORM
TX0000319,2024-08-15,6761.55,INTEREST,60.92,90815.15,IPERFORM
TX0000320,2024-08-19,7802.38,FEE,98.94,82575.85,IPERFORM
TX0000321,2024-08-23,9279.3,COMMISSION,42.32,194709.81,IPERFORM
TX0000322,2024-08-27,9612.28,TRAIL,51.01,110359.41,IPERFORM
TX0000323,2024-08-04,8444.81,FEE,73.94,109582.54,IPERFORM
TX0000324,2024-08-08,7776.22,COMMISSION,87.63,154700.75,IPERFORM
TX0000325,2024-08-12,7109.08,TRAIL,85.53,140299.8,IPERFORM
TX0000326,2024-08-16,10813.44,INTEREST,62.98,249193.32,IPERFORM
TX0000327,2024-08-20,7518.35,FEE,54.32,88334.45,IPERFORM
TX0000328,2024-08-24,9129.47,COMMISSION,33.18,134261.61,IPERFORM
TX0000329,2024-08-28,8613.07,TRAIL,5.86,117304.22,IPERFORM
TX0000330,2024-08-01,11061.47,FEE,56.69,218218.58,IPERFORM
TX0000331,2024-08-05,7272.02,COMMISSION,39.83,181273.75,IPERFORM
TX0000332,2024-08-09,11626.47,TRAIL,75.66,194082.75,IPERFORM
TX0000333,2024-08-13,7771.03,INTEREST,47.06,100168.2,IPERFORM
TX0000334,2024-08-17,10784.73,FEE,57.26,124339.71,IPERFORM
TX0000335,2024-08-21,8325.25,COMMISSION,85.39,197263.26,IPERFORM
TX0000336,2024-08-25,10123.4,TRAIL,92.94,203928.93,IPERFORM
TX0000337,2024-08-02,10198.48,FEE,18.84,158197.9,IPERFORM
TX0000338,2024-08-06,12623.58,COMMISSION,20.87,204271.82,IPERFORM
TX0000339,2024-08-10,7559.8,TRAIL,66.13,102320.11,IPERFORM
TX0000340,2024-08-14,10456.42,INTEREST,15.94,85035.95,IPERFORM
TX0000341,2024-08-18,10057.72,FEE,42.91,212318.22,IPERFORM
TX0000342,2024-08-22,9260.64,COMMISSION,7.15,86027.73,IPERFORM
TX0000343,2024-08-26,11021.61,TRAIL,85.37,217515.54,IPERFORM
TX0000344,2024-08-03,9150.4,FEE,57.95,190402.6,IPERFORM
TX0000345,2024-08-07,12310.12,COMMISSION,6.53,265739.97,IPERFORM
TX0000346,2024-08-11,8594.33,TRAIL,84.1,181630.98,IPERFORM
TX0000347,2024-08-15,12811.33,INTEREST,71.24,236682.34,IPERFORM
TX0000348,2024-08-19,7883.87,FEE,69.33,74110.45,IPERFORM
TX0000349,2024-08-23,8635.51,COMMISSION,20.13,70590.65,IPERFORM
TX0000350,2024-08-27,9721.48,TRAIL,91.12,85675.84,IPERFORM
